Date,Time(hours),Bus_id,Weather Condition,Temperature,Bus Stop ID,Bus Delay (mins),Population Density,Holiday Flag,Distance from Previous Bus Stop (km),Total Passenger Count,Bus Frequency (per hour),People Waiting
07/11/2024,21:00:00,Bus_1,Cloudy,11,21,14,7943,1,1.94,140,1,356
20/11/2024,18:00:00,Bus_17,Cloudy,18,23,20,3441,1,3.85,190,4,40
29/11/2024,13:00:00,Bus_19,Rainy,10,20,12,5550,0,4.49,402,1,359
15/11/2024,18:00:00,Bus_14,Sunny,33,30,21,7225,1,1.51,94,4,495
11/11/2024,05:00:00,Bus_12,Sunny,11,1,10,3596,1,4.47,492,4,62
08/11/2024,17:00:00,Bus_10,Sunny,24,25,18,4505,1,3.37,496,3,254
29/11/2024,17:00:00,Bus_18,Cloudy,10,20,7,3861,1,1.51,229,3,454
21/11/2024,08:00:00,Bus_11,Sunny,32,9,19,5640,0,2.71,63,2,69
07/11/2024,05:00:00,Bus_2,Foggy,18,22,7,6731,0,1.64,340,2,398
26/11/2024,21:00:00,Bus_18,Clear,14,15,9,4551,1,3.8,25,4,245
19/11/2024,12:00:00,Bus_7,Cloudy,30,1,25,6236,0,4.04,268,1,365
23/11/2024,06:00:00,Bus_15,Rainy,34,12,15,4736,0,1.42,405,5,170
11/11/2024,12:00:00,Bus_11,Rainy,19,3,18,4449,0,3.02,281,5,178
11/11/2024,11:00:00,Bus_18,Clear,31,11,25,3264,1,4.26,11,1,189
24/11/2024,06:00:00,Bus_12,Cloudy,15,2,22,5659,0,4.74,320,1,260
21/11/2024,07:00:00,Bus_6,Sunny,35,16,10,5721,0,3.05,201,3,72
04/11/2024,22:00:00,Bus_13,Sunny,23,9,12,4462,0,4.8,126,5,472
08/11/2024,16:00:00,Bus_16,Foggy,14,15,27,7252,1,3.14,306,4,459
24/11/2024,05:00:00,Bus_18,Foggy,28,12,8,4445,1,2.58,190,2,17
03/11/2024,16:00:00,Bus_10,Sunny,35,1,19,5298,0,4.39,89,3,370
22/11/2024,09:00:00,Bus_8,Rainy,17,13,23,5925,0,2.97,355,5,341
21/11/2024,21:00:00,Bus_18,Rainy,30,14,18,4632,1,2.89,116,1,57
02/11/2024,20:00:00,Bus_1,Foggy,28,25,15,5374,1,2.96,352,5,218
24/11/2024,19:00:00,Bus_8,Clear,20,25,6,7990,0,4.39,177,4,107
12/11/2024,19:00:00,Bus_6,Sunny,27,8,18,3512,0,4.33,14,3,304
30/11/2024,09:00:00,Bus_5,Foggy,28,8,11,3215,1,2.61,257,1,428
06/11/2024,18:00:00,Bus_15,Foggy,11,27,14,6331,1,2.33,209,4,173
02/11/2024,06:00:00,Bus_15,Sunny,23,30,30,5172,0,2.97,281,2,219
28/11/2024,15:00:00,Bus_2,Sunny,10,12,22,6153,1,3.29,443,3,464
21/11/2024,11:00:00,Bus_1,Rainy,29,1,13,4706,0,1.95,328,4,247
01/11/2024,10:00:00,Bus_11,Clear,10,11,10,5106,0,4.18,325,4,218
12/11/2024,06:00:00,Bus_10,Clear,30,8,25,4567,0,2.95,389,1,373
26/11/2024,10:00:00,Bus_18,Sunny,11,10,9,5208,1,2.34,105,2,417
22/11/2024,22:00:00,Bus_18,Cloudy,14,30,26,5331,0,1.43,483,4,31
29/11/2024,06:00:00,Bus_17,Foggy,23,19,10,5153,0,1.96,147,3,368
12/11/2024,22:00:00,Bus_8,Foggy,35,11,5,4128,1,4.8,279,4,47
25/11/2024,19:00:00,Bus_15,Sunny,18,7,1,6510,1,2.22,9,5,134
17/11/2024,06:00:00,Bus_8,Cloudy,17,11,10,7323,0,1.68,118,3,108
27/11/2024,10:00:00,Bus_17,Rainy,9,17,18,6653,0,2.84,94,3,72
27/11/2024,05:00:00,Bus_12,Sunny,24,1,5,5365,1,2.23,434,4,327
10/11/2024,19:00:00,Bus_8,Sunny,14,26,13,7897,1,1.14,144,1,418
28/11/2024,14:00:00,Bus_14,Foggy,17,29,19,5921,1,2.29,289,3,108
28/11/2024,21:00:00,Bus_4,Sunny,35,21,5,7567,0,3.18,386,5,309
16/11/2024,09:00:00,Bus_1,Sunny,12,21,16,4079,0,3.21,14,1,398
15/11/2024,08:00:00,Bus_1,Sunny,35,8,9,6511,0,2.43,494,1,272
30/11/2024,14:00:00,Bus_19,Foggy,10,23,27,5741,1,2.79,257,1,171
30/11/2024,21:00:00,Bus_16,Rainy,12,24,0,6020,0,4.86,346,3,116
15/11/2024,14:00:00,Bus_14,Rainy,9,6,2,3228,1,2.51,186,1,329
30/11/2024,21:00:00,Bus_16,Sunny,27,22,7,3170,0,2.03,345,4,74
19/11/2024,09:00:00,Bus_5,Foggy,34,18,7,3294,1,1.97,400,1,256
12/11/2024,06:00:00,Bus_9,Rainy,33,6,26,7284,0,2.83,207,5,81
23/11/2024,10:00:00,Bus_2,Rainy,18,5,19,3425,0,4.04,346,2,268
20/11/2024,06:00:00,Bus_18,Rainy,29,13,21,3918,1,1.82,431,5,128
25/11/2024,17:00:00,Bus_6,Foggy,23,19,14,6253,1,3.84,172,3,326
03/11/2024,15:00:00,Bus_9,Foggy,35,22,23,3498,0,1.08,464,1,403
05/11/2024,15:00:00,Bus_1,Sunny,30,8,6,5809,1,2.68,270,1,235
19/11/2024,20:00:00,Bus_9,Clear,27,9,10,7961,1,4.1,221,4,41
07/11/2024,15:00:00,Bus_16,Rainy,24,17,6,3825,0,2.35,152,1,181
21/11/2024,19:00:00,Bus_13,Clear,29,3,28,6779,1,3.25,111,5,157
09/11/2024,20:00:00,Bus_9,Foggy,35,19,3,4858,0,1.82,183,3,454
07/11/2024,15:00:00,Bus_13,Foggy,32,11,24,5118,0,3.97,399,2,59
18/11/2024,20:00:00,Bus_9,Foggy,30,24,11,3145,1,1.21,339,1,345
04/11/2024,12:00:00,Bus_11,Clear,12,17,25,7565,1,4.41,72,2,249
25/11/2024,08:00:00,Bus_4,Foggy,10,21,5,6577,0,1.79,418,1,192
28/11/2024,12:00:00,Bus_2,Sunny,33,19,13,3192,0,4.5,386,3,24
14/11/2024,08:00:00,Bus_6,Foggy,21,2,11,6888,0,2.41,283,5,473
18/11/2024,07:00:00,Bus_14,Cloudy,9,8,10,3051,0,3.89,74,3,400
26/11/2024,07:00:00,Bus_4,Clear,25,19,18,5410,0,2.28,355,2,436
09/11/2024,22:00:00,Bus_6,Cloudy,21,7,20,4820,0,4.62,215,1,80
26/11/2024,09:00:00,Bus_19,Foggy,12,28,4,5964,1,1.51,497,2,134
21/11/2024,22:00:00,Bus_6,Sunny,15,27,13,5521,1,1.71,328,5,421
02/11/2024,14:00:00,Bus_2,Rainy,25,17,20,4869,1,2.97,476,3,213
20/11/2024,10:00:00,Bus_18,Foggy,17,6,23,5568,0,1.33,23,2,388
28/11/2024,05:00:00,Bus_13,Sunny,12,19,15,4867,1,1.78,68,2,482
15/11/2024,09:00:00,Bus_9,Clear,27,24,24,5738,0,4.78,398,5,348
28/11/2024,13:00:00,Bus_19,Cloudy,9,6,12,6269,0,4.91,447,1,166
07/11/2024,16:00:00,Bus_13,Cloudy,18,28,24,6199,1,2.51,373,2,425
12/11/2024,18:00:00,Bus_11,Cloudy,12,2,28,5579,0,4.69,362,5,348
29/11/2024,06:00:00,Bus_1,Clear,17,6,21,7005,0,3.18,93,1,337
08/11/2024,21:00:00,Bus_7,Sunny,21,23,21,7935,0,2.08,321,1,398
15/11/2024,18:00:00,Bus_15,Clear,22,5,24,3240,0,3.81,324,3,71
03/11/2024,17:00:00,Bus_1,Cloudy,18,19,19,6440,0,3.64,384,5,214
14/11/2024,13:00:00,Bus_12,Foggy,14,20,21,7631,0,4.96,63,1,435
17/11/2024,19:00:00,Bus_7,Rainy,24,4,3,4407,1,2.06,224,3,65
04/11/2024,19:00:00,Bus_15,Clear,14,22,10,6502,0,3.69,225,4,221
18/11/2024,15:00:00,Bus_19,Clear,25,26,16,7038,0,1.21,369,5,308
08/11/2024,20:00:00,Bus_1,Sunny,18,17,6,3082,0,1.45,346,4,479
04/11/2024,21:00:00,Bus_17,Sunny,26,11,13,6768,0,1.02,337,1,286
02/11/2024,08:00:00,Bus_17,Clear,35,4,25,3950,1,5,103,5,185
30/11/2024,05:00:00,Bus_3,Cloudy,30,26,10,3610,1,4.21,215,3,207
06/11/2024,12:00:00,Bus_12,Rainy,26,13,27,7669,0,4.15,192,1,466
22/11/2024,21:00:00,Bus_6,Sunny,11,20,21,6605,0,3.04,160,5,99
